D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/23/2019 1:23:42 PM,Ari,Microsoft Print to PDF,Letter,1:173.818,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 2:58:01 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:207.972,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:11:58 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:207.972,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:32:05 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:299.479,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:34:25 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:299.479,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:35:30 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:207.972,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:40:51 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:25.9964,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:44:47 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:299.479,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:45:50 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:207.972,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 3:47:38 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:25.9964,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 4:04:50 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:155.979,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 4:26:03 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:207.972,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 4:35:04 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:299.479,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 4:37:37 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:299.479,
C:\Users\Ari\Documents\rangka atap.dwg,Model,9/26/2019 4:48:40 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:38.9947,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/26/2019 4:57:08 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:25.9964,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/26/2019 5:04:55 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/26/2019 5:05:39 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/26/2019 5:06:27 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/26/2019 5:07:27 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/27/2019 4:11:50 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/27/2019 4:25:58 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/27/2019 4:27:43 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/27/2019 4:28:47 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. DOKUMEN\1. DESA\1. KAUR PERENCANAAN DESA\2. RKPDes\2020 (Masih Proses)\4. GAMBAR TEKNIS\TempatMainan PAUD revisi.dwg,Model,9/27/2019 4:30:02 AM,Ari,EPSON L360 Series.pc3,User-Defined,1:138.648,
D:\01. TANJUNG-MULIA\03 PERENCANAAN\2020\4. GAMBAR TEKNIS\Gedung Balai Kemasyarakatan Desa versi real.dwg,Model,04/04/2020 8:05:13,Evaluation Software,EPSON L360 Series (temporary).pc3,F4,1:299.479,
